benchmark,category,series_id,algo,cost_name,variant,changepoints,seg_index,low,high,seg_cost,time_sec,nruns,M,threshold,min_seg_len,seed,total_cost
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",2,10,18,6316.081056789509,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",3,18,26,49846.13231706906,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",4,26,40,15482.93841728606,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",5,40,49,9899.607354246291,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",6,49,58,35502.512246394464,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",7,58,71,268606.0225144506,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",8,71,79,34198.03414434729,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",9,79,91,236867.94962311498,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",10,91,100,213637.31662664667,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",11,100,109,406627.1706874279,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[10, 18, 26, 40, 49, 58, 71, 79, 91, 100, 109, 122]",12,109,122,935413.7563685605,0.1716224579995469,400,400,10.0,8,0,2219282.668647141
=======
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",1,0,15,127.34410063731636,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",2,15,26,115.24853321918413,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",3,26,37,86.0465419045574,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",4,37,55,179.37725269172307,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",5,55,66,120.40527021932003,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",6,66,77,114.85986080627461,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",7,77,93,183.99618524913512,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",8,93,109,211.74256740518305,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,AIC,AIC_GAIN,"[15, 26, 37, 55, 66, 77, 93, 109, 122]",9,109,122,166.061504173883,0.19626841700301156,400,400,20.0,8,0,1305.081816306577
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",1,0,12,103.48729291773803,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",2,12,20,75.82770166907089,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",3,20,30,144.41756475644505,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",4,30,40,94.55265858169815,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",5,40,49,99.49677057194515,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",6,49,57,178.56165727188645,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",7,57,71,509.1924137456501,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",8,71,79,184.92710494772606,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",9,79,91,486.69081522370544,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",10,91,100,462.20916977776056,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",11,100,109,637.6732475864327,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
M4,Demographic,Q12673,WBS,QRMSE,QRMSE_GAIN,"[12, 20, 30, 40, 49, 57, 71, 79, 91, 100, 109, 122]",12,109,122,967.1679049516482,0.1942562080002972,400,400,10.0,8,0,3944.204302001707
>>>>>>> a161453 (modifiche)
